year,month,day,team,total_points_per_game
2020,12,20,Detroit,24.0
2020,12,20,LA Chargers,30.0
2020,12,20,San Francisco,15.0
2020,12,20,Carolina,16.0
2020,12,20,Dallas,30.0
2020,12,20,Houston,7.0
2020,12,20,Washington,23.0
2020,12,20,Chicago,36.0
2020,12,20,Philadelphia,24.0
2020,12,20,New England,3.0
2020,12,20,Jacksonville,10.0
2020,12,20,Denver,19.0
2020,12,20,Cincinnati,7.0
2020,12,20,NY Giants,7.0
2020,12,20,NY Jets,3.0
2020,12,13,Green Bay,30.0
2020,12,13,Kansas City,22.0
2020,12,13,Tennessee,35.0
2020,12,13,Seattle,12.0
2020,12,13,New Orleans,21.0
2020,12,13,Tampa Bay,24.0
2020,12,13,Pittsburgh,17.0
2020,12,13,Buffalo,34.0
2020,12,13,Arizona,28.0
2020,12,13,Indianapolis,26.0
2020,12,13,Las Vegas,31.0
2020,12,13,Minnesota,27.0
2020,12,13,Baltimore,34.0
2020,12,13,Atlanta,16.0
2020,12,13,Cleveland,41.0
2020,12,13,Miami,19.0
2020,12,13,LA Rams,24.0
2020,12,13,Houston,20.0
2020,12,13,Detroit,34.0
2020,12,13,San Francisco,24.0
2020,12,13,Carolina,27.0
2020,12,13,LA Chargers,0.0
2020,12,13,Dallas,17.0
2020,12,13,Washington,23.0
2020,12,13,New England,3.0
2020,12,13,Philadelphia,16.0
2020,12,13,Jacksonville,24.0
2020,12,13,Chicago,30.0
2020,12,13,Cincinnati,7.0
2020,12,13,NY Giants,17.0
2020,12,13,Denver,16.0
2020,12,13,NY Jets,28.0
2020,12,6,Green Bay,41.0
2020,12,6,Kansas City,27.0
2020,12,6,Seattle,23.0
2020,12,6,New Orleans,31.0
2020,12,6,Tennessee,45.0
2020,12,6,Pittsburgh,19.0
2020,12,6,Tampa Bay,24.0
2020,12,6,Arizona,17.0
2020,12,6,Indianapolis,26.0
2020,12,6,Buffalo,27.0
2020,12,6,Atlanta,43.0
2020,12,6,Las Vegas,6.0
2020,12,6,Minnesota,28.0
2020,12,6,Miami,20.0
2020,12,6,Baltimore,14.0
2020,12,6,LA Chargers,17.0
2020,12,6,Houston,41.0
2020,12,6,Cleveland,27.0
2020,12,6,LA Rams,20.0
2020,12,6,San Francisco,23.0
2020,12,6,Carolina,27.0
2020,12,6,Detroit,25.0
2020,12,6,Dallas,16.0
2020,12,6,Washington,41.0
2020,12,6,Philadelphia,17.0
2020,12,6,Cincinnati,17.0
2020,12,6,New England,20.0
2020,12,6,Jacksonville,25.0
2020,12,6,Chicago,25.0
2020,12,6,NY Giants,19.0
2020,12,6,Denver,3.0
2020,12,6,NY Jets,3.0
2020,11,29,Seattle,34.0
2020,11,29,Green Bay,35.0
2020,11,29,Tampa Bay,45.0
2020,11,29,Tennessee,24.0
2020,11,29,Kansas City,43.0
2020,11,29,Pittsburgh,27.0
2020,11,29,New Orleans,27.0
2020,11,29,Baltimore,30.0
2020,11,29,Arizona,37.0
2020,11,29,Cleveland,37.0
2020,11,29,Las Vegas,20.0
2020,11,29,Miami,24.0
2020,11,29,Atlanta,22.0
2020,11,29,Indianapolis,31.0
2020,11,29,Detroit,23.0
2020,11,29,San Francisco,33.0
2020,11,29,Minnesota,23.0
2020,11,29,LA Rams,24.0
2020,11,29,Dallas,3.0
2020,11,29,Buffalo,18.0
2020,11,29,LA Chargers,39.0
2020,11,29,Houston,20.0
2020,11,29,Philadelphia,22.0
2020,11,29,Cincinnati,34.0
2020,11,29,Carolina,24.0
2020,11,29,Jacksonville,29.0
2020,11,29,Chicago,10.0
2020,11,29,Denver,16.0
2020,11,29,New England,6.0
2020,11,29,Washington,25.0
2020,11,29,NY Giants,21.0
2020,11,29,NY Jets,10.0
2020,11,22,Seattle,27.0
2020,11,22,Tennessee,42.0
2020,11,22,Green Bay,10.0
2020,11,22,Pittsburgh,38.0
2020,11,22,New Orleans,30.0
2020,11,22,Las Vegas,40.0
2020,11,22,Baltimore,30.0
2020,11,22,Tampa Bay,38.0
2020,11,22,Kansas City,26.0
2020,11,22,Dallas,10.0
2020,11,22,Arizona,38.0
2020,11,22,Cleveland,7.0
2020,11,22,Atlanta,40.0
2020,11,22,Miami,24.0
2020,11,22,Detroit,34.0
2020,11,22,Indianapolis,31.0
2020,11,22,Buffalo,17.0
2020,11,22,Minnesota,23.0
2020,11,22,LA Rams,16.0
2020,11,22,San Francisco,24.0
2020,11,22,Houston,36.0
2020,11,22,Philadelphia,28.0
2020,11,22,Carolina,16.0
2020,11,22,LA Chargers,27.0
2020,11,22,New England,12.0
