year,month,day,team,red_zone_TD_percentage
2015,2,1,Minnesota,0.00%
2015,2,1,Tampa Bay,66.67%
2015,2,1,Detroit,50.00%
2015,2,1,Pittsburgh,33.33%
2015,2,1,Seattle,66.67%
2015,2,1,Miami,50.00%
2015,2,1,LA Rams,0.00%
2015,2,1,Philadelphia,50.00%
2015,2,1,Cleveland,50.00%
2015,2,1,Tennessee,50.00%
2015,2,1,Carolina,50.00%
2015,2,1,Washington,25.00%
2015,2,1,Arizona,66.67%
2015,2,1,San Francisco,50.00%
2015,2,1,Buffalo,100.00%
2015,2,1,Jacksonville,0.00%
2015,2,1,NY Jets,20.00%
2015,1,25,Las Vegas,100.00%
2015,1,25,Dallas,100.00%
2015,1,25,Chicago,0.00%
2015,1,25,Denver,100.00%
2015,1,25,New England,85.71%
2015,1,25,Atlanta,0.00%
2015,1,25,New Orleans,66.67%
2015,1,25,NY Giants,33.33%
2015,1,25,Kansas City,25.00%
2015,1,25,Cincinnati,100.00%
2015,1,25,Green Bay,33.33%
2015,1,25,Indianapolis,100.00%
2015,1,25,Baltimore,80.00%
2015,1,25,LA Chargers,33.33%
2015,1,25,Houston,100.00%
2015,1,25,Minnesota,0.00%
2015,1,25,Tampa Bay,66.67%
2015,1,25,Detroit,50.00%
2015,1,25,Pittsburgh,33.33%
2015,1,25,Seattle,66.67%
2015,1,25,Miami,50.00%
2015,1,25,LA Rams,0.00%
2015,1,25,Philadelphia,50.00%
2015,1,25,Cleveland,50.00%
2015,1,25,Tennessee,50.00%
2015,1,25,Carolina,50.00%
2015,1,25,Washington,25.00%
2015,1,25,Arizona,66.67%
2015,1,25,San Francisco,50.00%
2015,1,25,Buffalo,100.00%
2015,1,25,Jacksonville,0.00%
2015,1,25,NY Jets,20.00%
2015,1,18,Las Vegas,100.00%
2015,1,18,Dallas,100.00%
2015,1,18,Chicago,0.00%
2015,1,18,Denver,100.00%
2015,1,18,Atlanta,0.00%
2015,1,18,New Orleans,66.67%
2015,1,18,New England,100.00%
2015,1,18,NY Giants,33.33%
2015,1,18,Kansas City,25.00%
2015,1,18,Green Bay,66.67%
2015,1,18,Cincinnati,100.00%
2015,1,18,Baltimore,80.00%
2015,1,18,Indianapolis,75.00%
2015,1,18,LA Chargers,33.33%
2015,1,18,Houston,100.00%
2015,1,18,Minnesota,0.00%
2015,1,18,Tampa Bay,66.67%
2015,1,18,Detroit,50.00%
2015,1,18,Pittsburgh,33.33%
2015,1,18,Miami,50.00%
2015,1,18,Seattle,33.33%
2015,1,18,LA Rams,0.00%
2015,1,18,Philadelphia,50.00%
2015,1,18,Cleveland,50.00%
2015,1,18,Tennessee,50.00%
2015,1,18,Carolina,50.00%
2015,1,18,Washington,25.00%
2015,1,18,Arizona,66.67%
2015,1,18,San Francisco,50.00%
2015,1,18,Buffalo,100.00%
2015,1,18,Jacksonville,0.00%
2015,1,18,NY Jets,20.00%
2015,1,11,Las Vegas,100.00%
2015,1,11,Chicago,0.00%
2015,1,11,Dallas,50.00%
2015,1,11,Denver,50.00%
2015,1,11,Atlanta,0.00%
2015,1,11,New Orleans,66.67%
2015,1,11,New England,100.00%
2015,1,11,NY Giants,33.33%
2015,1,11,Kansas City,25.00%
2015,1,11,Cincinnati,100.00%
2015,1,11,Green Bay,75.00%
2015,1,11,Baltimore,80.00%
2015,1,11,LA Chargers,33.33%
2015,1,11,Houston,100.00%
2015,1,11,Minnesota,0.00%
2015,1,11,Tampa Bay,66.67%
2015,1,11,Indianapolis,25.00%
2015,1,11,Detroit,50.00%
2015,1,11,Pittsburgh,33.33%
2015,1,11,Miami,50.00%
2015,1,11,Seattle,33.33%
2015,1,11,LA Rams,0.00%
2015,1,11,Philadelphia,50.00%
2015,1,11,Cleveland,50.00%
2015,1,11,Tennessee,50.00%
2015,1,11,Carolina,50.00%
2015,1,11,Washington,25.00%
2015,1,11,Arizona,66.67%
2015,1,11,San Francisco,50.00%
2015,1,11,Buffalo,100.00%
2015,1,11,Jacksonville,0.00%
2015,1,11,NY Jets,20.00%
2015,1,4,Las Vegas,100.00%
2015,1,4,Dallas,25.00%
2015,1,4,Chicago,0.00%
2015,1,4,Denver,50.00%
2015,1,4,Atlanta,0.00%
2015,1,4,New Orleans,66.67%
2015,1,4,NY Giants,33.33%
2015,1,4,Kansas City,25.00%
2015,1,4,New England,0.00%
2015,1,4,Green Bay,75.00%
2015,1,4,Cincinnati,66.67%
2015,1,4,Indianapolis,60.00%
2015,1,4,Houston,100.00%
2015,1,4,LA Chargers,33.33%
2015,1,4,Tampa Bay,66.67%
2015,1,4,Minnesota,0.00%
2015,1,4,Detroit,100.00%
2015,1,4,Baltimore,66.67%
2015,1,4,Pittsburgh,33.33%
2015,1,4,Seattle,100.00%
2015,1,4,Miami,50.00%
2015,1,4,LA Rams,0.00%
2015,1,4,Philadelphia,50.00%
2015,1,4,Cleveland,50.00%
2015,1,4,Tennessee,50.00%
2015,1,4,Carolina,66.67%
2015,1,4,Washington,25.00%
2015,1,4,Arizona,66.67%
2015,1,4,San Francisco,50.00%
2015,1,4,Buffalo,100.00%
2015,1,4,Jacksonville,0.00%
2015,1,4,NY Jets,20.00%
2014,12,28,Las Vegas,50.00%
2014,12,28,Dallas,75.00%
2014,12,28,Chicago,50.00%
2014,12,28,Atlanta,50.00%
2014,12,28,Denver,75.00%
2014,12,28,New England,50.00%
2014,12,28,Kansas City,0.00%
2014,12,28,NY Giants,42.86%
2014,12,28,New Orleans,50.00%
2014,12,28,Minnesota,60.00%
2014,12,28,Green Bay,25.00%
2014,12,28,Cincinnati,25.00%
2014,12,28,LA Chargers,100.00%
2014,12,28,Pittsburgh,50.00%
2014,12,28,Indianapolis,50.00%
2014,12,28,Baltimore,100.00%
2014,12,28,LA Rams,66.67%
2014,12,28,Miami,100.00%
2014,12,28,Detroit,33.33%
2014,12,28,Houston,14.29%
2014,12,28,Seattle,100.00%
2014,12,28,Washington,50.00%
2014,12,28,Philadelphia,60.00%
2014,12,28,Cleveland,0.00%
2014,12,28,Tennessee,50.00%
2014,12,28,Carolina,50.00%
2014,12,28,San Francisco,66.67%
2014,12,28,Arizona,0.00%
2014,12,28,Jacksonville,100.00%
2014,12,28,NY Jets,0.00%
2014,12,21,Las Vegas,50.00%
2014,12,21,Kansas City,100.00%
2014,12,21,Chicago,100.00%
2014,12,21,Dallas,100.00%
2014,12,21,Atlanta,50.00%
2014,12,21,Denver,0.00%
2014,12,21,NY Giants,66.67%
2014,12,21,New England,60.00%
2014,12,21,New Orleans,66.67%
2014,12,21,Cincinnati,60.00%
2014,12,21,Green Bay,50.00%
2014,12,21,Minnesota,66.67%
2014,12,21,LA Chargers,100.00%
2014,12,21,Pittsburgh,66.67%
2014,12,21,Indianapolis,50.00%
2014,12,21,Detroit,25.00%
2014,12,21,Baltimore,33.33%
2014,12,21,Tampa Bay,100.00%
2014,12,21,LA Rams,0.00%
2014,12,21,Washington,50.00%
2014,12,21,Cleveland,0.00%
2014,12,21,Seattle,66.67%
2014,12,21,Philadelphia,60.00%
2014,12,21,Tennessee,50.00%
2014,12,21,Miami,0.00%
2014,12,21,Arizona,0.00%
2014,12,21,Carolina,33.33%
2014,12,21,San Francisco,66.67%
2014,12,21,Jacksonville,100.00%
2014,12,21,NY Jets,100.00%
2014,12,21,Buffalo,0.00%
2014,12,14,Las Vegas,75.00%
2014,12,14,Denver,100.00%
2014,12,14,Atlanta,100.00%
2014,12,14,Kansas City,50.00%
2014,12,14,Chicago,75.00%
2014,12,14,Dallas,66.67%
2014,12,14,New England,25.00%
2014,12,14,NY Giants,20.00%
2014,12,14,New Orleans,33.33%
2014,12,14,Cincinnati,100.00%
2014,12,14,Green Bay,66.67%
2014,12,14,Houston,100.00%
2014,12,14,Detroit,80.00%
2014,12,14,LA Chargers,100.00%
2014,12,14,Minnesota,0.00%
2014,12,14,Indianapolis,66.67%
2014,12,14,Baltimore,80.00%
2014,12,14,Pittsburgh,75.00%
2014,12,14,Tennessee,0.00%
2014,12,14,LA Rams,0.00%
2014,12,14,Cleveland,50.00%
2014,12,14,Tampa Bay,33.33%
2014,12,14,Miami,50.00%
2014,12,14,Seattle,100.00%
2014,12,14,Carolina,60.00%
2014,12,14,Arizona,0.00%
2014,12,14,Philadelphia,100.00%
2014,12,14,Buffalo,66.67%
2014,12,14,San Francisco,50.00%
2014,12,14,Jacksonville,33.33%
2014,12,14,NY Jets,0.00%
2014,12,7,Kansas City,100.00%
2014,12,7,NY Giants,75.00%
2014,12,7,New England,100.00%
2014,12,7,Chicago,75.00%
2014,12,7,Denver,14.29%
2014,12,7,Dallas,66.67%
2014,12,7,Atlanta,20.00%
2014,12,7,New Orleans,100.00%
2014,12,7,Green Bay,0.00%
2014,12,7,Cincinnati,100.00%
2014,12,7,Minnesota,100.00%
2014,12,7,LA Rams,80.00%
